Configuration,Workload,Latency,Energy,Throughput,Delay,Time
Edge,Low,Low,1885355.794,160.0,2.515,0.138
Edge,Low,High,1764368.536,160.0,2.515,0.177
Edge,Medium,Low,1929243.447,200.0,2.515,0.144
Edge,Medium,High,1857358.008,200.0,2.515,0.166
Edge,High,Low,1908895.369,267.0,2.515,0.161
Edge,High,High,1886854.587,267.0,2.515,0.169

Router,Low,Low,1712799.394,160.0,16.691,0.149
Router,Low,High,1730677.414,160.0,56.691,0.145
Router,Medium,Low,1804385.129,200.0,16.691,0.137
Router,Medium,High,1832986.500,200.0,56.691,0.160
Router,High,Low,1826964.564,267.0,16.691,0.184
Router,High,High,1812350.327,267.0,56.691,0.162

Server,Low,Low,1772120.188,160.0,22.459,0.156
Server,Low,High,1746347.667,160.0,102.459,0.161
Server,Medium,Low,1765269.308,200.0,22.459,0.175
Server,Medium,High,1712847.450,200.0,102.459,0.181
Server,High,Low,1753964.954,267.0,22.459,0.177
Server,High,High,1804813.688,267.0,102.459,0.182

Cloud,Low,Low,1818206.638,160.0,121.002,0.163
Cloud,Low,High,1794613.780,160.0,201.002,0.174
Cloud,Medium,Low,1819131.641,200.0,121.002,0.234
Cloud,Medium,High,1822171.730,200.0,201.002,0.182
Cloud,High,Low,1828068.515,267.0,121.002,0.187
Cloud,High,High,1817584.050,267.0,201.002,0.200

Balanced,Low,Low,1764556.923,160.0,26.721,0.129
Balanced,Low,High,1720425.759,160.0,106.724,0.130
Balanced,Medium,Low,1844524.053,200.0,26.723,0.162
Balanced,Medium,High,1732851.942,200.0,106.719,0.148
Balanced,High,Low,1786612.081,267.0,26.724,0.176
Balanced,High,High,1752655.228,267.0,106.725,0.160